"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"657","Centro Ecumenico De Promocion Y Accion Social Norte","La Libertad","Trujillo","Trujillo","Tenorio Calderon,  Federico Bernardo","Agricultura/"
"658","Centro Gestion Y Desarrollo ","Lambayeque","Chiclayo","Picsi","Pizarro Castañeda,  Jorge Humberto","Trabajo Y Promocion Social/"
"659","Centro Global Para El Desarrollo Y La Democracia","Lima","Lima","Magdalena Del Mar","Toledo Manrique,  Alejandro","Economia Y Finanzas/Educacion/Mujer Y Desarrollo Social/"
"660","Centro Iberoamericano Especializado En La Formacion Ambiental","Junín","Huancayo","El Tambo","Arroyo Landeo,  Nancy Adda","Educacion/"
"661","Centro Integral De Desarrollo Mundo Y Vida - Ongd","Tacna","Tacna","Tacna","Paredes Villarroel,  Willer Abel","Agricultura/Educacion/Energia Y Minas/Mujer Y Desarrollo Social/Salud/Transportes/Pcm/"
"662","Centro Integral De Desarrollo Y Medio Ambiente Nor-Sur Peru","Piura","Sullana","Bellavista","Puicon Zapata,  Marcos Manuel","Agricultura/Salud/Trabajo Y Promocion Social/"
"663","Centro Internacional De Desarrollo Humano Y Gestion Local","Arequipa","Arequipa","Yanahuara","Cuentas Zavala Rondon,  Jose Carlos","Agricultura/Justicia/"
"664","Centro Internacional De Estudios Interdisciplinarios","Junín","Huancayo","El Tambo","Aguirre Rios,  Fares Abel","Educacion/"
"665","Centro Latinoamericano De Ayuda Social","Lima","Lima","San Borja","Diaz Romero,  Raul Alberto","Educacion/Mujer Y Desarrollo Social/Salud/"
"666","Centro Latinoamericano De Investigacion Y Promocion Para El Desarrollo Social En Paz Y Bien","Puno","Puno","Puno","Yucra Vela,  Blanca Elvira","Justicia/Mujer Y Desarrollo Social/Trabajo Y Promocion Social/"
"667","Centro Leonor Tarifa Del Peru","La Libertad","Trujillo","Trujillo","Caceres Jara,  Manuela Adriana","Educacion/Mujer Y Desarrollo Social/"
"668","Centro Medico De Salud Sur Peruano","Tacna","Tacna","Tacna","Montenegro Hurtado,  Marianella Yuni","Salud/"
"669","Centro Para El Desarrollo De Comunidades Y Pueblos","Cajamarca","Cajamarca","Cajamarca","Chavarry Muñoz,  Luis Ricardo","Mujer Y Poblaciones Vulnerables/ Producción/"
"670","Centro Para El Desarrollo De Los Pueblos Ayllu","Cusco","Cusco","Cusco","Quispe Sanabria,  Celso","Agricultura/Trabajo Y Promocion Social/Vivienda Y Construccion/Otros/"
"","","","","","Chavez Granadino,  Ma El Ainin Alejandra",""
"671","Centro Para El Desarrollo Del Indigena Amazonico                                                                        ","Lima","Callao","La Perla","Romero Ramon,  Alberto Victor","Agricultura/Trabajo Y Promocion Social/"
"672","Centro Para El Desarrollo Del Niño Y El Adolescente","Cusco","Cusco","Santiago","Cornelia Christina Martha,  Staats","Salud/"
"673","Centro Para El Desarrollo Humano (Cdh)","Apurimac","Abancay","Abancay","Coronado Cobeñas,  Jose Alberto","Educacion/Produccion/Mujer Y Desarrollo Social/"
"674","Centro Para El Desarrollo Integral Andino Y Amazonico","Ayacucho","Huamanga","Andres Avelino Caceres Dorregaray","Sulca Ochoa,  Marine","Mujer Y Desarrollo Social/Pcm/"
"675","Centro Para El Desarrollo Social Y Empresarial Forward Hand - O.N.G. Foha","Junín","Huancayo","El Tambo","Felen Leon,  Christian Aymer","Agricultura/Educacion/Industria/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Vivienda Y Construccion/Otros/"
"676","Centro Para La Cooperacion A La Pequeña Y Micro Empresa","Apurimac","Abancay","Abancay","Quispecahuana Maldonado,  Joel","Comercio/"
"677","Centro Peruano De Estudios Sociales                                                                                     ","Lima","Lima","Jesus Maria","Del Castillo Pinto,  Laureano","Agricultura/Pcm/"
"","","","","","Eguren Lopez,  Luis Fernando",""
"678","Centro Regional De Tecnologia Apropiada (Creta)","Loreto","Maynas","Punchana","Arevalo Vacalla,  Omar","Agricultura/Salud/"
"679","Centro Shaday Apurimac","Apurimac","Aymaraes","Chalhuanca","Huanzo Sea De Juarez,  Maura Santosa","Mujer Y Poblaciones Vulnerables/ Producción/Ambiente/"
"680","Centros Empresariales De Organizaciones Sociales","La Libertad","Trujillo","Trujillo","De La Cruz Quezada,  Luis Demetrio","Agricultura/"
"681","Cervi-Cusco","Cusco","Cusco","San Jeronimo","Venero Salas,  Sami Emperatriz","Salud/"
"682","Chachapoyas Por La Vida Y La Cultura","Amazonas","Chachapoyas","Chachapoyas","Pilco Maslucan,  Iris","Otros/ Cultura/"
"683","Chacra Project","Lima","Lima","San Isidro","Pilco Valles,  Daniel"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Ambiente/"
"684","Chance Peru, Asociacion Para El Desarrollo Restaurando Vidas","Huánuco","Huanuco","Huanuco","Llanos Doria,  Casimiro Luis","Educacion/Mujer Y Desarrollo Social/"
"685","Chirapaq Centro De Culturas Indigenas Del Peru","Lima","Lima","Jesus Maria","Rumrrill Garcia,  Roger Alejandro","Mujer Y Desarrollo Social/"
"686","Choice Humanitarian","Piura","Piura","Piura","Thomas,  James Hadland"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Educacion/Salud/"
"","","","","","Cruz Lamadrid,  Wilmer Vicente",""
"687","Circoluzion","Lima","Lima","San Martin De Porres","Marthaler,  Christian","Cultura/Ambiente/"
"688","Circulo Amigos De La Cultura","Lima","Lima","Barranco","Figari Gold De Ruiz,  Jenny Cecilia","Educacion/Turismo/"
"689","Circulo Para El Desarrollo Social Peru","La Libertad","Trujillo","Moche","Valverde Calipuy,  Elder Guillermo"," Mujer Y Poblaciones Vulnerables/"
"690","Circulo Solidario","La Libertad","Trujillo","Trujillo","Urriza Goldaracena,  Carlos","Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Otros/"
"691","Ciudad Saludable","Lima","Lima","Miraflores","Roldan Ruiz,  Paloma Giovanna","Educacion/Salud/"
"692","Colectivo Integral De Desarrollo                                                                                        ","Lima","Lima","La Molina","Acuña Franco,  Bady","Educacion/Industria/Comercio/Trabajo Y Promocion Social/Otros/"
"693","Comercio Alternativo De Productos No Tradicionales Y Desarrollo En America Latina - Peru","Lima","Lima","Villa El Salvador","Vizcarra Kennedy,  Gaston Adolfo","Produccion/"
"694","Cometa - Compromiso Desde La Infancia Y Adolescencia","Lima","Lima","Lima","Barletta Villaran,  Maria Consuelo","Mujer Y Desarrollo Social/"
"","","","","","Gal´Lino Vargas-Machuca,  Rossy Giuliana",""
"695","Comision Andina De Juristas","Lima","Lima","San Isidro","Bernales Ballesteros,  Enrique","Justicia/Mujer Y Desarrollo Social/"
"696","Comision De Derechos Humanos","Lima","Lima","Jesus Maria","Rojas Rojas,  Pablo Emilio","Educacion/Justicia/Otros/"
"697","Comision De Derechos Humanos De Ica","Ica","Ica","Ica","Orellana Huaman,  Leonidas Ricardo","Justicia/"
"698","Comite Central De Palmicultores De Ucayali","Ucayali","Coronel Portillo","Calleria","Tananta Isuiza,  Lauter","Agricultura/"
"699","Comite De America Latina Y El Caribe Para La Defensa De Los Derechos De La Mujer. Cladem","Lima","Lima","Jesus Maria","Valdivia Lopez,  Betsey Cecilia","Educacion/Justicia/Mujer Y Desarrollo Social/Trabajo Y Promocion Social/Pcm/"
"700","Comite De Vigilancia, Gestion Y Desarrollo Provincial De Pataz Residentes En Trujillo","La Libertad","Trujillo","Trujillo","Flores Coronel,  Alfonsina Lucita","Mujer Y Poblaciones Vulnerables/"
"701","Comunicaciones Aliadas                                                                                                        ","Lima","Lima","Magdalena Del Mar","Perez Vela,  Rolando","Educacion/Justicia/Pcm/"
"","","","","","Chanduvi Jaña,  Elsa Rosa",""
"702","Comunidad Campesina San Asencion De Racchicancha","Huánuco","Huanuco","Santa Maria Del Valle","Huarauya Martinez,  Hermogenes"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/"
"703","Comunidad Cristiana Agua Viva","La Libertad","Trujillo","Trujillo","Mariños Vega,  Hector Alberto","Educacion/Mujer Y Desarrollo Social/Salud/"
"704","Comunidad Cristiana Missio Dei","La Libertad","Trujillo","El Porvenir","Morales Tineo,  Teresa Elizabeth"," Mujer Y Poblaciones Vulnerables/Salud/Trabajo Y Promoción Del Empleo/"
"705","Con Nuestro Padre Celestial Movemos Montañas De Nuestra Selva Peruana","Cajamarca","Jaen","Jaen","Diaz Rodriguez,  Valentin"," Mujer Y Poblaciones Vulnerables/Salud/Trabajo Y Promoción Del Empleo/"
"706","Consejo De Desarrollo Del Cooperativismo","Lima","Lima","San Juan De Lurigancho","Vilafranca Perez,  Luis Alberto","Agricultura/Educacion/Comercio/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Pcm/Otros/"
"707","Consejo De Juventudes Nacionales                                                                                        ","Lima","Lima","Pueblo Libre","Valcarcel Lima,  Sonnia","Educacion/Justicia/Salud/Trabajo Y Promocion Social/Pcm/"
"708","Consejo De La Prensa Peruana","Lima","Lima","San Isidro","Roca Rey Miro Quesada,  Bernardo Alonso De La Cruz","Comunicaciones/"
"709","Conservacion Ambiental Y Desarrollo En El Peru ","Madre De Dios","Tambopata","Tambopata","Moreno Dueñas,  William Armando","Agricultura/Turismo/Pcm/Otros/"
"710","Conservando, Proyecto Cientifico Para La Conservacion Del Patrimonio","Lima","Lima","Santiago De Surco","Kuon Arce,  Elsa Rossana","Educacion/Otros/ Cultura/"
"711","Conservar Peru","La Libertad","Trujillo","El Porvenir","Hilario Blas,  Violeta","Educacion/Turismo/Otros/"
"712","Consorcio De Investigacion Economica Y Social","Lima","Lima","Jesus Maria","Ann,  Cynthia Sanborn","Economia Y Finanzas/"
"","","","","","Portocarrero Maisch,  Javier Alvaro",""
"713","Consorcio De Organismos No Gubernamentales De Promocion De  Desarrollo De La Libertad","La Libertad","Trujillo","Trujillo","Santa Maria Mecq,  Luis Carlos","Turismo/"
"714","Consorcio De Organizaciones Privadas De Promocion Al Desarrollo Dela Micro Y Pequeña Empresa","Lima","Lima","Lince","Yanque Martinez,  Hugo Ramiro","Industria/Comercio/Mujer Y Desarrollo Social/Trabajo Y Promocion Social/Pcm/Otros/"
"","","","","","Burga Carmona,  Jack Hans",""
"715","Consorcio Interinstitucional Para El Desarrollo Humano Y Territorial Antonio Raymondi","La Libertad","Trujillo","Trujillo","Tenorio Calderon,  Federico Bernardo","Pcm/"
"716","Consorcio Interinstitucional Para El Desarrollo Regional                                                                ","Cajamarca","Cajamarca","Cajamarca","Vega Risco,  Leles Martin","Agricultura/Industria/Salud/"
"717","Consorcio Para El Desarrollo Integral De La Niñez Y La Familia Andina","Lima","Lima","Lima","Segovia Loayza,  Andres Victor","Educacion/Justicia/"
"718","Consorcio Para El Desarrollo Sostenible De La Ecorregion Andina","Lima","Lima","La Molina","Argüello Argüello,  Angela Maria","Agricultura/Mujer Y Desarrollo Social/"
"719","Consorcio Para El Desarrollo Sostenible De Ucayali                                                                      ","Ucayali","Coronel Portillo","Calleria","Valdivieso Garcia,  Miguel","Agricultura/Pcm/"
"720","Construyendo Tu Futuro","Huánuco","Huanuco","Huanuco","Estrada Huacachino,  Dennis Huil","Agricultura/Educacion/"
"721","Consuelo Torres Tello De Los Pobres Y Proyectos Para El Desarrollo Sostenible","Lima","Lima","San Juan De Miraflores","Torres Tello,  Consuelo","Mujer Y Desarrollo Social/Pcm/"
"722","Consultores Y Ejecutores De Proyectos De Desarrollo Integral","Ayacucho","Huamanga","Ayacucho","Tacas Perez,  Rigoberto Maglorio","Otros/"
"723","Cooperaccion                                                                                                            ","Lima","Lima","Jesus Maria","Cuadros Falla,  Julia Ivonne","Agricultura/Energia Y Minas/Mujer Y Desarrollo Social/Salud/Vivienda Y Construccion/"
"","","","","","Sueiro Cabredo,  Juan Carlos",""
"724","Cooperacion Cristiana Para El Desarrollo","San Martín","Moyobamba","Moyobamba","Orbe Uriarte,  Anesto","Educacion/"
"725","Cooperacion Integral Al Desarrollo Social Y Productivo","Lima","Lima","El Agustino","Pacheco Cajachagua,  Marzoline Januario","Educacion/Salud/"
"726","Cooperacion Para El Desarrollo De La Amazonia","Loreto","Maynas","Iquitos","Cabudivo Escobar,  Carlos Eduardo","Agricultura Y Riego/Ambiente/"
"727","Cooperacion Peruano Europea Para Sudamerica","Arequipa","Arequipa","Arequipa","Vera Malma,  Miguel","Educacion/"
"728","Coordinadora De Organizaciones Campesinas E Instituciones Agrarias Del Peru                                             ","Lima","Lima","Jesus Maria","Salazar Bravo,  Eler","Agricultura/Salud/"
"729","Coordinadora Distrital De Comunidades Nativas De Pichari","Cusco","La Convencion","Pichari","Vargas Saavedra,  Rodrigo"," Cultura/ Mujer Y Poblaciones Vulnerables/Ambiente/"
"730","Coordinadora Nacional De Derechos Humanos                                                                               ","Lima","Lima","Lince","Bracamonte Allain,  Jorge","Justicia/"
"731","Coordinadora Nacional De Desarrollo Social Y Agropecuario Del Peru","Lima","Lima","San Juan De Lurigancho","Ramirez Jara,  Eleuterio Nemesio"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Ambiente/"
"732","Coordinadora Por La Inversion Y El Trabajo Del Peru (Citperu)","Lima","Lima","Magdalena Del Mar","Saavedra Molina,  Jose Manuel","Industria/Produccion/Vivienda Y Construccion/"
"733","Cops - Instituto De Cultura Y Orientacion Para El Desarrollo Personal Y Social","Ica","Ica","Ica","Gomez Donayre,  Javier","Agricultura/Educacion/Pcm/"
"734","Corazon Solidario","Huánuco","Huanuco","Huanuco","Pozo Chavez,  Guy Lincoln","Agricultura/Educacion/Industria/Mujer Y Desarrollo Social/Salud/Otros/"
"735","Corazones Felices","Lima","Lima","San Martin De Porres","Rojas Castillo,  Jesus Antonio"," Mujer Y Poblaciones Vulnerables/"
"736","Cordillera Los Andes","Lima","Lima","San Martin De Porres","Diaz Cabanillas,  Wildor Antonio","Agricultura/Educacion/Mujer Y Desarrollo Social/"
"737","Corporacion De Desarrollo Sincos","Lima","Lima","Santiago De Surco","Falcon Sornas,  Rolando Leonidas","Agricultura/Industria/Turismo/"
"738","Creation Peru","La Libertad","Trujillo","Trujillo","Silva Jaramillo,  Nestor Martin","Mujer Y Desarrollo Social/Pcm/Otros/"
"739","Creser: Centro de Estudios y Asesoría en Conductas de Riesgo Social y Promoción del Desarrollo Integral","Lima","Lima","Santiago De Surco","Ascacibar Noblecilla,  Segundo Gustavo","Mujer Y Desarrollo Social/"
"740","Cristianos Unidos","Lima","Lima","Santa Anita","Melendez Rojas,  Luis Andres"," Cultura/ Mujer Y Poblaciones Vulnerables/Educacion/"
"741","Cruz Verde Amazonica","San Martín","San Martin","Morales","Guerini,  Stephane","Agricultura/"
"742","Cuerpo De Liderazgo Internacional Basado En Principios","Puno","Puno","Puno","Huaman Cardenas,  Juan Ildebrando"," Mujer Y Poblaciones Vulnerables/Justicia Y Derechos Humanos/Salud/"
"743","Cultura Global","Lima","Lima","San Borja","Lavalle Terry,  Erick Essenin"," Mujer Y Poblaciones Vulnerables/Educacion/"
"744","Dar Con Alegria","Lima","Lima","Lince","Macassi Shepherd,  Marco Angel","Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/"
"745","Defendiendo La Vida","La Libertad","Trujillo","Trujillo","Flores Escudero,  Abel Neptali","Agricultura/Mujer Y Desarrollo Social/Salud/Otros/"
"746","Defensa Del Medio Ambiente Reforestacion Y Forestacion","La Libertad","Trujillo","La Esperanza","Mansilla Oblitas,  Wilfredo","Agricultura Y Riego/Ambiente/"
"747","Demus - Estudio Para La Defensa De Los Derechos De La Mujer","Lima","Lima","Jesus Maria","Cedano Garcia,  Maria Ysabel","Justicia/Mujer Y Desarrollo Social/"
"748","Derecho, Ambiente Y Recursos Naturales","Lima","Lima","Jesus Maria","Cueto La Rosa,  Vanessa Leticia Maria","Agricultura/"
"","","","","","Gamboa Balbin,  Cesar Leonidas",""
"749","Desarrollo Integral De Nuevo Pachacutec","Lima","Lima","San Isidro","Del Palacio Perez Medel,  Jose Luis","Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Vivienda Y Construccion/Pcm/"
"","","","","","Mansilla Grandes,  Martin Manuel",""
"750","Desarrollo Social De Empresas Y Medio Ambiente Peru","Ancash","Santa","Nuevo Chimbote","Salazar Montenegro,  Orlando Baltazar","Agricultura/Industria/Mujer Y Desarrollo Social/Salud/"
"751","Desarrollo Urbano Sostenible","Lima","Lima","La Molina","Castagnino Pastor,  Giovanna Berenice"," Mujer Y Poblaciones Vulnerables/Vivienda, Construcción Y Saneamiento/"
"752","Desea Peru","Cusco","Calca","Lamay","Mcgirr,  Sandra Lynn","Mujer Y Desarrollo Social/Salud/Vivienda, Construcción Y Saneamiento/"
"","","","","","Chavez Ipenza,  Judy",""
"753","Diaconia, Asociacion Evangelica Luterana De Ayuda Para El Desarrollo Comunal                                            ","Lima","Lima","Breña","Veliz Marquez,  Angel Pedro","Agricultura/Salud/Pcm/"
"","","","","","Vidalon Ugarte,  Carmen Rocio",""
"754","Diversidad San Martinense","San Martín","San Martin","Tarapoto","Ramirez Macedo,  Max Kener","Salud/"
"755","Dris / Desarrollo Rural Sustentable","Lima","Lima","Ate","Rios Alvarado,  Josue Renato","Agricultura/"
"756","Eagle Condor Humanitarian Peru","Lima","Lima","Miraflores","Loayza Chahuayo,  Phavel Israel"," Producción/Educacion/"
"757","Eco Redd","Lima","Lima","Magdalena Del Mar","Carrillo Arteaga,  Pedro Jose","Ambiente/Vivienda, Construcción Y Saneamiento/"
"758","Ecoceanica","Lima","Lima","San Borja","Shaleyla Kelez,  Sara","Agricultura/Educacion/"
"759","Ecologia Tecnologia Consultores B&M","Cajamarca","Chota","Querocoto","Burga Jara,  Blanca Celmira","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/Otros/"
"760","Ecosad - Consorcio Por La Salud, Ambiente Y Desarrollo","Lima","Lima","Lince","Santandreu Carpi,  Alain Marie"," Mujer Y Poblaciones Vulnerables/Ambiente/Salud/"
"761","Ecoselva","Junín","Chanchamayo","Chanchamayo","Diaz Fernandez,  Jose Orlando"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Ambiente/"
"762","Ecoswell","Lima","Lima","Miraflores","Bustamante Amezaga,  Andres Roberto"," Cultura/Desarrollo E Inclusión Social/Trabajo Y Promoción Del Empleo/"
"","","","","","Pizarro Fletcher,  Alejandro Tomas",""
"763","Educacion Y Comunicacion Para El Desarrollo Del Sur","Junín","Huancayo","El Tambo","Egoavil Benito,  Teofila Fortunata","Educacion/Mujer Y Desarrollo Social/Pcm/"
"764","Educacion, Desarrollo, Medio Ambiente Y Reduccion De La Pobreza","Lima","Lima","Chorrillos","Velazco Cespedes,  Giuliana Irene","Agricultura/"
"765","Educar Sembrando, Ongd","Lima","Lima","Santiago De Surco","Montero Oneto,  Victor Sebastian","Educacion/Mujer Y Desarrollo Social/Vivienda Y Construccion/"
"766","Eduvida","Lima","Lima","Magdalena Del Mar","Altamirano Loayza,  Ana Maria","Educacion/Salud/"
"767","Ejecutor De Contrato De Administracion De La Reserva Comunal Amarakaeri","Madre De Dios","Tambopata","Tambopata","Chimatani Tayori,  Fermin","Ambiente/"
"768","Ejecutor De Contrato De Administracion De La Reserva Comunal Ashaninka (Eco-Ashaninka)","Junín","Satipo","Satipo","Ramos Perez,  Cesar Sergio","Agricultura/"
"769","Ejecutor Del Contrato De Administracion De La Reserva Comunal Purus","Ucayali","Purus","Purus","Del Aguila Conshico,  Rafael","Agricultura/"
"770","El Canario Salvador","La Libertad","Trujillo","Trujillo","Santa Maria,  Teddy Rabines","Agricultura/Educacion/Industria/Mujer Y Desarrollo Social/Salud/Otros/"
"771","El Eden Del Divino Niño Jesus","Lima","Lima","Los Olivos","Siguas Donayre,  Maria Luisa","Educacion/Mujer Y Desarrollo Social/Salud/"
"772","El Taller. Asociacion De Promocion Y Desarrollo                                                                         ","Arequipa","Arequipa","Arequipa","Zegarra Ponce,  Guido Santiago","Agricultura/Industria/Salud/Pcm/"
"773","Empezamos Creciendo","Lima","Lima","Santiago De Surco","Duarte Urruchi,  Carmen De Los Milagros Zoila","Educacion/"
"774","Emprendedores Solidarios De Lambayeque - Emsolam","Lambayeque","Chiclayo","Chiclayo","Anaya Cruz,  Max Lleberman","Mujer Y Desarrollo Social/"
"775","Encuentros - Servicio Jesuita De La Solidaridad","Lima","Lima","Breña","Samaniego Salcedo,  Alejandro","Justicia/"
"776","Entre Pares Asociacion Para El Desarrollo Educativo Participativo Y Pertinente - Asociacion Entre Pares","Lima","Lima","Barranco","Santos Montoro,  Manuel Hermenegildo","Educacion/Justicia/Mujer Y Desarrollo Social/Salud/Pcm/"
"777","Equipo  De Promocion Y Capacitacion Amazonica","Junín","Satipo","Satipo","Echevarria Witting,  Fridolin Ruben","Agricultura/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Pcm/"
"778","Equipo De Desarrollo Agropecuario De Cajamarca","Cajamarca","Cajamarca","Cajamarca","Guerrero Figueroa,  Bernardino","Agricultura/Educacion/Comercio/Salud/Trabajo Y Promocion Social/Otros/"
"779","Equipo De Educacion Y Autogestion Social","Lima","Lima","Jesus Maria","Abad Pacheco,  Marcial","Educacion/Mujer Y Desarrollo Social/Trabajo Y Promocion Social/"
"","","","","","Ayala Flores,  Soledad Del Carmen",""
"780","Equipo Peruano De Antropologia Forense","Lima","Lima","Jesus Maria","Baraybar Do Carmo,  Jose Pablo","Otros/"
"781","Erart","Lima","Lima","Miraflores","Garrido-Lecca Lastarria,  Jorge Angel","Educacion/"
"782","Erradicacion De La Pobreza Y Promocion Agroindustrial Ganadera Peru","Ancash","Huaraz","Huaraz","Saavedra Contreras,  Luis Enrique","Agricultura/"
"783","Escuela Campesina De Educacion Y Salud Señor Cautivo De Ayabaca                                                     ","Lima","Lima","Magdalena Del Mar","Coronado Rivera,  Delicia Cesarina","Agricultura/Educacion/Salud/Trabajo Y Promocion Social/Pcm/"
"784","Escuela De Formacion Deportiva Y De Futbol Daniel Rios F.C.","Lima","Lima","Santiago De Surco","Rios Benavente,  Daniel Bruno"," Mujer Y Poblaciones Vulnerables/Educacion/Salud/"
"785","Escuela Mayor De Gestion Municipal","Lima","Lima","Magdalena Del Mar","Azcueta Gorostiza,  Miguel","Mujer Y Desarrollo Social/"
"786","Escuela Para El Desarrollo","Lima","Lima","Magdalena Del Mar","Zeballos Manzur,  Molvina Maria Isabel","Educacion/"
"787","Espacio Comun","Lima","Lima","Barranco","Sanchez Sarmiento,  Hugo Edgar","Educacion/"
"788","Espacio Para La Niñez","Lima","Lima","San Isidro","Rivero Perez,  Maria Del Rosario","Educacion/Mujer Y Desarrollo Social/Salud/"
"789","Etnoartes Asociacion Civil","Lima","Lima","San Borja","Aedo Vasquez,  Cesar Edgardo"," Cultura/ Mujer Y Poblaciones Vulnerables/"
"790","Federacion Nativa Del Rio Madre De Dios Y Afluentes","Madre De Dios","Tambopata","Tambopata","Cusurichi Palacios,  Julio Ricardo","Turismo/Otros/"
"791","Federacion Provincial De Mujeres De Ica","Ica","Ica","Ica","Ascencio De La Cruz,  Zoila Rosa","Mujer Y Desarrollo Social/"
"792","Ficus Peru Desarrollo Socio Ambiental","Lima","Lima","Santiago De Surco","Navarro Trujillo,  Diego Alberto"," Mujer Y Poblaciones Vulnerables/Ambiente/Vivienda, Construcción Y Saneamiento/"
"793","Filomena Tomaira Pacsi, Servicios A La Mujer Minera                                                                     ","Lima","Lima","Jesus Maria","De La Torre Marcas,  Maria Erlinda","Industria/Salud/Pcm/"
"794","Finca Peru","Lima","Lima","Lince","Lanao Flores,  Iris","Economia Y Finanzas/Industria/Pcm/"
"","","","","","Cornejo Muñoz,  Edmundo Wilbert",""
"795","First World Education Proeducaris","Lima","Lima","Santiago De Surco","Cabos Yepez,  Santos Roger"," Mujer Y Poblaciones Vulnerables/Educacion/"
"796","Fomento De Investigacion Y Accion Para El Desarrollo (Fiad)","Piura","Piura","Piura","Balarezo Saldaña,  Sergio Antonio","Agricultura/Educacion/Salud/"
"797","Fomento De La Vida                                                                                                      ","Lima","Lima","Jesus Maria","Cuentas Anci,  Martha Eleana","Agricultura/Salud/"
"798","Fondo De Desarrollo De La Universidad De Huanuco","Huánuco","Huanuco","Huanuco","Beraun Barrantes,  Jose Antonio","Agricultura/Educacion/"
"799","Fondo Nacional Civil En Defensa Del Ambiente Del Peru Asociacion Sin Fines De Lucro","Lima","Lima","Carabayllo","Zegarra Zeballos,  Maria Del Rosario","Ambiente/"
"800","Forest Shambhala","Cusco","Cusco","Wanchaq","Goycochea Luna,  Carlos Alcides Horacio"," Cultura/Ambiente/"
"801","Foro Nacional Internacional","Lima","Lima","Santiago De Surco","Prada Mendoza,  Fernando","Educacion/"
"802","Forum Solidaridad Peru","Lima","Lima","Lince","Castiglione Guerra,  Giancarlo","Educacion/"
"","","","","","Huaman Valladares,  Gladiz Amparo",""
"803","Foundation Non - Profit Association And Nongovernmental Organizations Saint Anthony Marianist Callao Peru For The Kids","Lima","Callao","Bellavista","Angeldonis Thomas,  Hugo Reynaldo"," Mujer Y Poblaciones Vulnerables/ Producción/Ambiente/Trabajo Y Promoción Del Empleo/"
"804","Fundacion Amazonía Viva","San Martín","Mariscal Caceres","Juanjui","Rojas Paredes,  Roldan","Agricultura Y Riego/Ambiente/"
"805","Fundacion Calma","Lima","Lima","Pueblo Libre","Amaya Carranza,  Daniel Martin"," Mujer Y Poblaciones Vulnerables/Ambiente/"
"806","Fundacion Caridad Mundial","Lima","Lima","Carabayllo","Rosales Sanchez,  Miler"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Salud/"
"807","Fundacion Cayetano Heredia","Lima","Lima","Miraflores","Llanos Cuentas,  Elmer Alejandro","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/Pcm/Otros/"
"808","Fundacion Cordon Del Plata Del Peru","Lima","Lima","Miraflores","Osay,  Sonia Beatriz","Ambiente/Trabajo Y Promoción Del Empleo/Vivienda, Construcción Y Saneamiento/"
"809","Fundacion Cristo Vive Peru","Cusco","Cusco","Cusco","Galiano Gutierrez,  Ana Maria","Educacion/Justicia/Salud/"
"810","Fundacion Don Bosco","Lima","Lima","Breña","Gorecki,  Stefan Edward","Educacion/Mujer Y Desarrollo Social/"
"","","","","","Acuña Gallo,  Raul Alberto",""
"","","","","","Cayo,  Manuel Eduardo",""
"811","Fundacion Eco Verde","Amazonas","Chachapoyas","Chachapoyas","Teran Reategui,  Elizabeth Natividad","Agricultura/Industria/"
"812","Fundacion El Chico Laser, Ong","Lima","Lima","San Isidro","Fernandez Castillo,  Miguel Ernesto","Salud/"
"813","Fundacion Hope Holanda Peru ","Cusco","Cusco","Cusco","Helena Meekes,  Walter","Educacion/Salud/"
"814","Fundacion Museo Amano                                                                                                   ","Lima","Lima","Miraflores","Masaharu Watanabe,  Augusto","Educacion/"
"815","Fundacion Nuestro Hogar A.N.A.R.                                                                                        ","Lima","Lima","La Molina","Von Preussen,  Desiree","Educacion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/Pcm/"
"","","","","","Guajardo Mendez,  German Roberto",""
"816","Fundacion Oftalmologica Del Norte, Piura  Peru","Piura","Piura","Piura","Pongo Aguila,  Luis Humberto","Salud/"
"817","Fundacion Olympic","Piura","Piura","Piura","Barreto Lopez,  Alicia De Los Milagros"," Mujer Y Poblaciones Vulnerables/Educacion/Trabajo Y Promoción Del Empleo/"
"818","Fundacion Para El Desarrollo Agrario                                                                                    ","Lima","Lima","Jesus Maria","Aguilar Castellanos,  Enrique","Agricultura/"
"819","Fundacion Para El Desarrollo Solidario - Fundades                                                                                  ","Lima","Lima","Barranco","Claux Koechlin,  Ana Lucia","Educacion/Industria/Salud/Trabajo Y Promoción Del Empleo/"
