"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"77","Asociación Centro de Estudios y Proyectos Sociales para con las Comunidades de Apurímac Perú","Apurimac","Abancay","Abancay","Cespedes Borda,  Victor Mario","Agricultura/"
"78","Asociación Centro de Innovación Científica Amazónica","Madre De Dios","Tambopata","Tambopata","Ascorra Guanira,  Cesar Felipe","Ambiente/"
"79","Asociación Chico Latino","Cusco","Cusco","San Sebastian","Mendoza Huaman,  Alfonso","Educacion/Mujer y Desarrollo Social/"
"80","Asociación Choque Auqui","Lima","Lima","Villa El Salvador","Salazar Saavedra,  Rosalia","Salud/Otros/"
"81","Asociación Chuyma de Apoyo Rural","Puno","Puno","Puno","Quiso Choque,  Victor","Agricultura/Educacion/Mujer y Desarrollo Social/Salud/PCM/Otros/"
"82","Asociación Ciudad Paraiso Ecológico de Paracas","Lima","Lima","Jesus Maria","Ramos Ledesma,  Jorge Eduardo","Ambiente/"
"83","Asociación Civil ""Aun Hay Esperanza""","Junín","Huancayo","Huancayo","Marcos Fabian,  Alfredo Wilder","Educacion/Vivienda, Construcción y Saneamiento/"
"84","Asociación Civil Alianza para el Desarrollo Tumi","Lima","Lima","Los Olivos","Silva Romero,  Vidal Isaac","Agricultura/Educacion/Turismo/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Vivienda y Construcción/Otros/"
"85","Asociación Civil Amigos Defensores del Medio Ambiente Sostenible Organización No Gubernamental","Huancavelica","Huancavelica","Huancavelica","Guerra Quispe,  Tolomeo","Agricultura/Educacion/Salud/PCM/"
"86","Asociación Civil Autónoma y sin Fines De Lucro: Organismo No Gubernamental de Desarrollo ""Mejorando Vidas"" ","Ayacucho","Huamanga","San Juan Bautista","Peña Giron,  Juan Hilde","Educacion/PCM/"
"87","Asociación Civil Brazos del Padre","Cajamarca","Jaen","Jaen","Cornejo Castellon,  Pablo Andres","Mujer y Desarrollo Social/"
"88","Asociación Civil Brigada de Salvamento y Rescate Los Chinchas","Lima","Lima","Lima","Vargas Velasquez,  Oscar"," Mujer Y Poblaciones Vulnerables/Justicia Y Derechos Humanos/"
"89","Asociación Civil Centro de Cultura Popular Labor","Pasco","Pasco","Chaupimarca","Cosme Calzado,  Wilmar Orlando","Educacion/Trabajo y Promocion Social/"
